ID,Name,Description,Use_In_Nature,Architecture_Code,Source,Created_Date
33,Environment-Adaptive Multi-Objective Loss,Loss function that adapts objective portfolio based on deployment environment (edge vs cloud vs mobile),Inter-species comparison (BIOMD 469/470/471/472/473): Different bacteria optimize DIFFERENT metabolite sets based on environment. Rich environment (65 metabolites) vs limited (51) vs specialized (49). ZERO overlap - each species evolved unique objective portfolio.,"class EnvironmentAdaptiveLoss(nn.Module):
    """"""Loss adapts to deployment environment (bacteria adapt to nutrient availability)""""""
    
    def __init__(self, environment='cloud'):
        super().__init__()
        
        # Define objective portfolios for each environment
        self.environments = {
            'cloud': {
                'objectives': 65,  # Rich environment (all metrics available)
                'metrics': [
                    'accuracy', 'f1_score', 'auc', 'precision', 'recall',  # 5 accuracy
                    'latency_p50', 'latency_p95', 'latency_p99', 'throughput',  # 4 perf
                    'robustness_adv', 'robustness_ood', 'robustness_noise',  # 3 robust
                    'fairness_demographic', 'fairness_equalized_odds',  # 2 fairness
                    'interpretability', 'feature_importance', 'attention_entropy',  # 3 interp
                    # ... 48 more cloud-available metrics
                ],
                'weights': torch.ones(65)
            },
            'edge': {
                'objectives': 51,  # Limited environment (resource constraints)
                'metrics': [
                    'accuracy', 'f1_score',  # 2 accuracy (reduced)
                    'latency_p50', 'throughput',  # 2 perf (critical on edge)
                    'power_consumption', 'memory_footprint', 'model_size',  # 3 resource
                    'quantization_error', 'pruning_ratio',  # 2 compression
                    # ... 42 more edge-relevant metrics
                ],
                'weights': torch.ones(51)
            },
            'mobile': {
                'objectives': 49,  # Specialized environment
                'metrics': [
                    'accuracy',  # 1 accuracy (minimal)
                    'latency_p50',  # 1 perf
                    'battery_drain', 'thermal_throttling', 'bandwidth_usage',  # 3 mobile
                    'on_device_privacy', 'local_storage',  # 2 privacy
                    # ... 42 more mobile-specific metrics
                ],
                'weights': torch.ones(49)
            }
        }
        
        self.set_environment(environment)
    
    def set_environment(self, environment):
        """"""Adapt loss to new deployment environment""""""
        env_config = self.environments[environment]
        self.current_env = environment
        self.objectives = env_config['objectives']
        self.metrics = env_config['metrics']
        self.weights = nn.Parameter(env_config['weights'])
        
        print(f""Adapted to {environment}: {self.objectives} objectives"")
    
    def forward(self, model_outputs, targets, model_state):
        """"""
        Compute environment-specific loss
        
        Args:
            model_outputs: Model predictions
            targets: Ground truth
            model_state: Dict with metrics specific to current environment
        """"""
        objective_values = []
        
        for metric_name in self.metrics:
            if metric_name in model_state:
                # Metric available in this environment
                obj_value = model_state[metric_name]
            else:
                # Metric not available → skip (like metabolite not in environment)
                continue
            
            # Log-ratio thermodynamic potential (like bacteria)
            baseline = model_state.get(f'{metric_name}_baseline', 1.0)
            log_potential = torch.log(obj_value / (baseline + 1e-8))
            
            objective_values.append(log_potential)
        
        # Stack and weight
        obj_tensor = torch.stack(objective_values)
        weighted_loss = (self.weights[:len(objective_values)] * obj_tensor).sum()
        
        # Constraint: non-negative fitness
        return torch.max(torch.tensor(0.0), 1.0 + weighted_loss)
    
    def migrate(self, from_env, to_env, model_state):
        """"""
        Migrate model between environments (like bacteria adapting to new niche)
        
        Returns: Adaptation cost (how many objectives change)
        """"""
        old_metrics = set(self.environments[from_env]['metrics'])
        new_metrics = set(self.environments[to_env]['metrics'])
        
        lost_metrics = old_metrics - new_metrics  # No longer optimizable
        gained_metrics = new_metrics - old_metrics  # New objectives
        
        adaptation_cost = len(lost_metrics) + len(gained_metrics)
        
        print(f""Migration {from_env} → {to_env}:"")
        print(f""  Lost {len(lost_metrics)} objectives: {list(lost_metrics)[:5]}..."")
        print(f""  Gained {len(gained_metrics)} objectives: {list(gained_metrics)[:5]}..."")
        print(f""  Adaptation cost: {adaptation_cost} objective changes"")
        
        self.set_environment(to_env)
        
        return adaptation_cost",BIOMD 469/470 (65 met) vs 471/472 (51 met) vs 473 (49 met): Zero overlap in metabolite sets,2025-12-10 08:21:49
34,Leak Conductance (Drosophila PN),"Passive ion leak conductance across membrane, determines resting potential and baseline metabolism","Antennal lobe projection neurons (Drosophila): Passive leak conductance (gmax=0.0003 S/cm², E_rev=-60mV)","class LeakConductance(nn.Module):
    def __init__(self, gmax=0.0003, e_rev=-60.0):
        super().__init__()
        self.gmax = nn.Parameter(torch.tensor(gmax))
        self.e_rev = torch.tensor(e_rev)
    
    def forward(self, v):
        # i = gmax * (v - e_rev)
        return self.gmax * (v - self.e_rev)","ModelDB 118662 (Gouwens & Wilson, 2009): Drosophila projection neuron electrotonic structure",2025-12-10 11:25:11
35,Cable Equation (Continuous Form),Classical cable equation governing voltage propagation along axon/dendrite with passive membrane properties,"Drosophila projection neuron signal propagation (Rm=8300-19200 Ω·cm², Ra=163.9-224 Ω·cm, Cm=0.8-2.57 µF/cm²)","class CableEquation(nn.Module):
    def __init__(self, Rm=13000, Ra=190, Cm=1.5):
        super().__init__()
        self.Rm = nn.Parameter(torch.tensor(float(Rm)))
        self.Ra = nn.Parameter(torch.tensor(float(Ra)))
        self.Cm = nn.Parameter(torch.tensor(float(Cm)))
    
    def forward(self, V, d2V_dx2, I_syn):
        # Cm dV/dt = (1/Ra) d²V/dx² - V/Rm + I_syn
        dV_dt = (1/self.Cm) * ((1/self.Ra) * d2V_dx2 - V/self.Rm + I_syn)
        return dV_dt",ModelDB 118662: Cable theory for Drosophila neuron compartments,2025-12-10 11:25:11
36,Cable Equation (Discretized),Discretized compartmental form of cable equation for numerical integration (640-1152 segments per neuron),Drosophila projection neuron compartmental model: Voltage integration across dendritic tree,"class CompartmentalNeuron(nn.Module):
    def __init__(self, n_segments=640, Rm=13000, Ra=190, Cm=1.5):
        super().__init__()
        self.n_seg = n_segments
        self.Rm = Rm
        self.Ra = Ra
        self.Cm = Cm
        self.V = nn.Parameter(torch.ones(n_segments) * -60.0)
        self.compute_coupling_conductances()
    
    def forward(self, I_syn, dt=0.01):
        dV_dt = torch.zeros(self.n_seg)
        for i in range(self.n_seg):
            axial_in = self.G_axial[i-1] * (self.V[i-1] - self.V[i]) if i > 0 else 0
            axial_out = self.G_axial[i] * (self.V[i] - self.V[i+1]) if i < self.n_seg-1 else 0
            leak = self.V[i] / self.Rm
            dV_dt[i] = (axial_in - axial_out - leak + I_syn[i]) / self.Cm
        self.V.data += dV_dt * dt
        return self.V",ModelDB 118662: Discretized cable equation for NEURON simulator,2025-12-10 11:25:11
37,Voltage Attenuation (Electrotonic),Exponential voltage decay with distance along dendrite due to passive membrane properties,Drosophila projection neuron dendritic branches (46+ µm extent): V(x) = V₀ exp(-x/λ),"class VoltageAttenuation(nn.Module):
    def __init__(self, lambda_electronic=150.0):
        super().__init__()
        self.lambda = nn.Parameter(torch.tensor(lambda_electronic))
    
    def forward(self, V0, distance):
        # V(x) = V0 * exp(-distance / lambda)
        # Exponential decay with electrotonic length constant
        V_atten = V0 * torch.exp(-distance / self.lambda)
        return V_atten",ModelDB 118662: Electrotonic length constant for Drosophila neurons,2025-12-10 11:25:11
38,Electrotonic Length Constant,Characterizes voltage attenuation distance: λ = √(Rm×d/(4×Ra)). Determines signal propagation range,Drosophila projection neurons: λ ≈ 150 µm (determines how far signals propagate),"class ElectronicLengthConstant(nn.Module):
    def __init__(self, Rm=13000, Ra=190, diameter=1.0):
        super().__init__()
        self.Rm = nn.Parameter(torch.tensor(float(Rm)))
        self.Ra = nn.Parameter(torch.tensor(float(Ra)))
        self.d = nn.Parameter(torch.tensor(float(diameter)))
    
    def forward(self):
        # λ = √(Rm × d / (4 × Ra))
        lambda_const = torch.sqrt((self.Rm * self.d) / (4.0 * self.Ra))
        return lambda_const
    
    def compute_electronic_distance(self, anatomical_distance):
        # L_electronic = L_anatomical / λ
        lambda_const = self.forward()
        return anatomical_distance / lambda_const",ModelDB 118662: Cable theory characterization,2025-12-10 11:25:11
39,Membrane Time Constant,Integration time window τ_m = Rm × Cm. Varies per compartment (6.6-49.4 ms for Drosophila),Drosophila projection neurons: Determines synaptic integration window and plasticity timescale,"class MembraneTimeConstant(nn.Module):
    def __init__(self, Rm=13000, Cm=1.5, n_compartments=640):
        super().__init__()
        self.Rm = nn.Parameter(torch.tensor(float(Rm)))
        self.Cm = nn.Parameter(torch.tensor(float(Cm))))
        # Time constant varies per compartment based on local geometry
        self.tau_m_per_compartment = self.Rm * self.Cm
    
    def forward(self, diameter, length):
        # τ_m = Rm × Cm (location-dependent)
        # Higher Cm (larger surface area) → longer τ_m
        tau_m = self.Rm * self.Cm
        return tau_m",ModelDB 118662: Measured membrane properties from fly recordings,2025-12-10 11:25:11
40,Axial Resistance (Compartmental Coupling),Internal resistance governing current flow between adjacent compartments: Ra_seg = Ra×L/(π(d/2)²),Drosophila projection neurons: Determines electrical coupling strength (thin dendrites decouple),"class AxialResistance(nn.Module):
    def __init__(self, Ra=190):
        super().__init__()
        self.Ra = nn.Parameter(torch.tensor(float(Ra)))
    
    def compute_segment_resistance(self, length, diameter):
        # Ra_segment = Ra × L / (π × (d/2)²)
        Ra_seg = self.Ra * length / (3.14159 * (diameter/2)**2)
        return Ra_seg
    
    def compute_coupling_conductance(self, length, diameter):
        # G_coupling = 1 / Ra_segment
        Ra_seg = self.compute_segment_resistance(length, diameter)
        G_coupling = 1.0 / Ra_seg
        return G_coupling",ModelDB 118662: Intracellular resistance measurements,2025-12-10 11:25:11
41,Segment Resistance & Capacitance,"Per-compartment membrane resistance and capacitance: R_seg = Rm/(π×d×L), C_seg = Cm×π×d×L",Drosophila projection neurons: Terminal dendrites (d=0.22 µm) vs soma (d=10.2 µm),"class CompartmentProperties(nn.Module):
    def __init__(self, Rm=13000, Cm=1.5):
        super().__init__()
        self.Rm = Rm
        self.Cm = Cm
    
    def compute_segment_properties(self, diameter, length):
        # R_segment = Rm / (π × d × L)
        R_segment = self.Rm / (3.14159 * diameter * length)
        # C_segment = Cm × π × d × L
        C_segment = self.Cm * 3.14159 * diameter * length
        return R_segment, C_segment
    
    def compute_time_constant(self, diameter, length):
        # τ = R_segment × C_segment
        R_seg, C_seg = self.compute_segment_properties(diameter, length)
        tau = R_seg * C_seg
        return tau",ModelDB 118662: Morphology-dependent membrane properties,2025-12-10 11:25:11
42,Drosophila Morphological Integration,Complex 3D dendritic integration across 640-1152 compartments spanning 46+ µm with diameter range 0.22-10.2 µm,Drosophila projection neuron spatial structure: Olfactory input integration across dendritic arbor,"class DrosophilaMorphology(nn.Module):
    def __init__(self, n_segments=640):
        super().__init__()
        self.n_seg = n_segments
        # 3D coordinates (µm): X: -49-0, Y: -12-0, Z: 0-46
        self.positions = nn.Parameter(torch.randn(n_segments, 3))
        self.diameters = nn.Parameter(torch.ones(n_segments) * 1.0)
    
    def compute_segment_lengths(self):
        diffs = self.positions[1:] - self.positions[:-1]
        lengths = torch.norm(diffs, dim=1)
        return lengths
    
    def compute_surface_area(self):
        lengths = self.compute_segment_lengths()
        areas = 3.14159 * self.diameters[:-1] * lengths
        return areas.sum()
    
    def update_morphology(self, connectome_data):
        # Update from connectome reconstruction
        self.positions.data = torch.tensor(connectome_data['xyz'])
        self.diameters.data = torch.tensor(connectome_data['diameter'])",ModelDB 118662: EM reconstruction of antennal lobe projection neurons,2025-12-10 11:25:11
43,Leak Conductance + ATP Budgeting (Enhanced ARCH-7),"Leak current directly consumes ATP, linking passive conductance to metabolic drain and energy constraints",Drosophila neurons: Leak conductance (40% baseline ATP cost) with energy-dependent threshold modulation,"class ATPAwareLeakChannel(nn.Module):
    def __init__(self, gmax=0.0003, e_rev=-60.0, ATP_cost=0.001):
        super().__init__()
        self.gmax = nn.Parameter(torch.tensor(gmax))
        self.e_rev = torch.tensor(e_rev)
        self.ATP_cost = ATP_cost
    
    def forward(self, v, ATP_pool, dt):
        I_leak = self.gmax * (v - self.e_rev)
        ATP_consumed = abs(I_leak) * self.ATP_cost * dt
        ATP_pool = torch.clamp(ATP_pool - ATP_consumed, min=0)
        # High ATP depletion raises threshold
        threshold_adjustment = 1.0 / (ATP_pool / 10.0 + 0.1)
        return I_leak, ATP_pool, threshold_adjustment",ModelDB 118662 + ARCH-7 integration: ATP-energy-conductance coupling,2025-12-10 20:02:02
44,Dual-Channel Neurons + Cable Theory (Enhanced ARCH-9),Cable equation naturally separates fast (capacitive Cm dV/dt) from slow (resistive V/Rm) channels,Drosophila projection neurons: Fast Na+/K+ channels + slow Ca2+/neuropeptide modulation across dendritic tree,"class DualChannelCableEnhanced(nn.Module):
    def __init__(self, Rm=13000, Ra=190, Cm=1.5, n_seg=640):
        super().__init__()
        self.Rm = Rm
        self.Ra = Ra
        self.Cm = Cm
        self.n_seg = n_seg
        self.V = nn.Parameter(torch.ones(n_seg) * -60.0)
    
    def forward(self, I_syn_fast, I_syn_slow, dt=0.01):
        # Fast capacitive: immediate response
        I_cap = self.Cm * (I_syn_fast / self.Cm)  # Capacitive current
        
        # Slow resistive: exponential with tau_m = Rm*Cm
        I_res = self.V / self.Rm  # Resistive leak
        
        # Coupling component (axial)
        # Combined: dV/dt = (1/Cm) * [I_cap - I_res + I_syn_slow]
        dV_dt = (1/self.Cm) * (I_cap - I_res + I_syn_slow)
        
        self.V.data += dV_dt * dt
        return self.V",Cable equation physics naturally implements dual-channel separation,2025-12-10 20:02:02
45,Kuramoto Synchronization + Spatial Electrotonic Distance (Enhanced ARCH-16),"Coupling strength decays exponentially with electrotonic distance, explaining locality of synchrony",Drosophila central complex: Ring neurons (50 µm apart) synchronize locally; λ≈150 µm determines range,"class KuramotoSpatialElectronic(nn.Module):
    def __init__(self, n_neurons=16, lambda_const=150.0, spacing=50.0):
        super().__init__()
        self.n = n_neurons
        self.lambda_const = lambda_const
        self.spacing = spacing
        # Ring positions
        angles = torch.linspace(0, 2*3.14159, n_neurons)
        self.positions = torch.stack([
            torch.cos(angles) * spacing,
            torch.sin(angles) * spacing
        ])
    
    def forward(self, theta, omega, K):
        dtheta = omega.clone()
        for i in range(self.n):
            coupling = 0
            for j in range(self.n):
                if i != j:
                    d_ij = torch.norm(self.positions[:, i] - self.positions[:, j])
                    # Coupling decays with electrotonic distance
                    spatial_factor = torch.exp(-d_ij / self.lambda_const)
                    coupling += spatial_factor * torch.sin(theta[j] - theta[i])
            dtheta[i] += (K / self.n) * coupling
        return dtheta",Kuramoto model + cable theory electrotonic length constant,2025-12-10 20:02:02
46,Bicoid Morphogen Gradient (Embryonic),Exponential concentration gradient establishing anterior-posterior axis via reaction-diffusion and threshold readout,Drosophila embryo: Bicoid protein gradient (λ≈100 µm) activates hunchback above threshold for body axis formation,"class BicoidGradient(nn.Module):
    def __init__(self, source_strength=1.0, degradation_rate=0.01, diffusion=0.1):
        super().__init__()
        self.S0 = source_strength  # Anterior source
        self.k_deg = degradation_rate  # Degradation rate
        self.D = diffusion  # Diffusion coefficient
        self.lambda_morph = 100.0  # µm, morphogenetic length scale
    
    def forward(self, x):
        # Steady-state: c(x) = (S0/k) * exp(-x/lambda)
        # Hunchback activation: if c(x) > threshold → hunchback on
        c_x = (self.S0 / self.k_deg) * torch.exp(-x / self.lambda_morph)
        threshold = 0.5 * (self.S0 / self.k_deg)
        hunchback = (c_x > threshold).float()
        return c_x, hunchback","KEGG pathway hsa04392 (Hippo signaling, Drosophila reference)",2025-12-10 20:02:02
47,Hippo Signaling Cascade (Growth Control),Kinase cascade controlling organ size via Warts-mediated Yorkie/YAP phosphorylation,Drosophila organ development: Hippo→Warts→Yorkie controls proliferation vs apoptosis balance,"class HippoSignaling(nn.Module):
    def __init__(self):
        super().__init__()
    
    def forward(self, activation_signal):
        # Kinase cascade activation
        # d[Warts*]/dt = k_act*[Hippo*]*[Warts] - k_deact*[Warts*]
        k_act = 0.1
        k_deact = 0.01
        warts_active = k_act * activation_signal - k_deact
        
        # Yorkie/YAP inhibition
        # d[YAP_inactive]/dt = k_phos*[Warts*]*[YAP] - k_dephos*[YAP_inactive]
        yorkie_inactive = k_act * warts_active
        yorkie_active = 1.0 - yorkie_inactive
        
        # Gene expression (Hill function)
        # mRNA = beta * f([YAP]) - delta*[mRNA]
        beta = 1.0
        delta = 0.1
        mrna_rate = beta * (yorkie_active**2) / (1.0 + yorkie_active**2) - delta
        
        return warts_active, yorkie_active, mrna_rate",KEGG pathway hsa04392: Hippo signaling pathway,2025-12-10 20:02:02
48,Apoptosis Cascade (Programmed Cell Death),Caspase-mediated cell death pathway with Bcl-2 family regulation. Drosophila has simplified apoptosis vs mammals,Drosophila development: Selective neuronal pruning via caspase cascade and Bcl-2 balance,"class ApoptosisPathway(nn.Module):
    def __init__(self):
        super().__init__()
    
    def forward(self, death_signal, bcl2_ratio):
        # Caspase activation cascade
        # d[Caspase*]/dt = k_act*[Init_Caspase*]*[Procaspase] - k_inhib*[IAP]*[Caspase*]
        k_act = 0.5
        k_inhib = 0.1
        
        caspase_active = k_act * death_signal - k_inhib * (1.0 - bcl2_ratio)
        
        # Bcl-2 family regulation
        # Survival_prob = f(Bcl2_ratio) where Bcl2_ratio = [Anti-apoptotic]/[Pro-apoptotic]
        survival_prob = torch.sigmoid(bcl2_ratio - 0.5)
        
        # Final apoptosis commitment
        apoptosis_rate = caspase_active * (1.0 - survival_prob)
        
        return caspase_active, apoptosis_rate, survival_prob",KEGG pathway hsa04215: Apoptosis pathway,2025-12-10 20:02:02
49,Toll-Like Receptor Signaling (Immune Response),Pattern recognition cascade from Drosophila Toll receptor to mammalian TLR signaling. Dual pathway activation,Drosophila innate immunity: Toll receptor (ancestral TLR) activates MyD88-dependent and -independent pathways,"class TollSignaling(nn.Module):
    def __init__(self):
        super().__init__()
    
    def forward(self, pamp_signal):  # PAMP = pathogen-associated molecular pattern
        # Receptor activation
        # d[TLR*]/dt = k_on*[PAMP]*[TLR] - k_off*[TLR*]
        k_on = 0.1
        k_off = 0.01
        tlr_active = k_on * pamp_signal - k_off
        
        # MyD88-dependent pathway (fast)
        # d[MyD88_complex]/dt = k_bind*[TLR*]*[MyD88] - k_dissoc*[MyD88_complex]
        myd88_active = 0.5 * tlr_active  # Fast activation
        
        # NF-κB nuclear translocation (slow)
        # d[NF-κB_nuc]/dt = k_transloc*[IκB_deg] - k_export*[NF-κB_nuc]
        nfkb_active = 0.1 * myd88_active  # Slower, downstream
        
        # Dual pathway output
        fast_response = myd88_active
        slow_response = nfkb_active
        
        return tlr_active, fast_response, slow_response",KEGG pathway hsa04620: Toll-like receptor signaling pathway (Drosophila homolog),2025-12-10 20:02:02
